	b1Bleach1	b1Bleach2	b1Bleach3	b1Filtrate1	b1Filtrate2	b1Filtrate3	b1Retentate1	b1Retentate2	b1Retentate3
a277687773172a914062324a3edc658d	16	0	0	0	0	0	0	0	0
0b628f76c19382d32a9a40cc14e96426	0	15	0	147	0	0	0	0	0
a3160b01d9b88c4be339a6794e3aa0f8	0	38	0	0	0	0	0	0	0
c83e1ad1aba0effcc92744732fd3e3da	0	0	19	0	0	0	0	5	0
96e95b1a99117e96f04a603877d1f614	0	0	0	324	31114	9834	975	1442	1041
8ec5fa5c2a043bb19fdd5d8fe4c70302	0	0	0	0	0	0	0	0	2
8dc0fe3f961afaef6657dcd4383a6a78	0	11	0	0	0	0	0	0	0
98a67975fa0ba71cb70c0246a092fc0b	0	0	0	0	9	0	566	451	70
f53696916b7662759202972237cd8710	34	0	0	0	0	0	0	0	0
a5fc35282f66ee7bad37274f8f587fd3	0	10	0	0	0	0	0	0	0
23f2c60db4b8eee25aa2cd690f98979b	0	0	0	0	15	0	0	0	44
5f86aca4aa29cef14c4184c2c34397b9	21	0	0	0	0	0	0	0	0
d6addfb88b80b434e62f7242aaf525a1	0	0	0	0	0	0	0	0	107
86418e3c3cd8da71c12b3a025d6e82a7	0	0	0	0	0	0	4	0	8
4447a4eec9c39dedc532ef98d769f704	6	0	0	0	0	0	0	0	0
114abd439f03e1bf2ca90784f9c9237e	0	0	0	0	0	0	0	3	0
2a8952998f52f8fe389a58e6ff1d4fc1	0	0	0	253	0	0	0	0	0
04e37a6798d328284f3fad39a74c6df4	12	0	0	0	0	0	0	0	0
e233c324055b1ddef104c19d883a87e1	0	0	0	0	18	0	1016	994	164
5241b211e5809161832c1c8f4ae63c84	0	19	24	0	0	0	0	0	0
06ffb21a1146c25b621a0300f6143964	0	0	0	0	12	0	5	0	52
3abccc41ece9f481a2701bd3686f1f3b	0	0	51	0	0	0	0	0	0
df2239e6df0f03cb0a8f1cf49e608d43	0	0	0	0	0	0	0	3	0
ad496371f4d521a7cba1b76a137c2512	0	34	82	0	0	0	0	0	0
a532655ad529fcfbf83b0c2a00b22530	85	377	367	139	0	0	0	37	17
8c772f02fe35b35160aafabc2b23ded9	0	0	0	0	0	0	0	5	0
024aacce9be888d2911c9be16e5f7a6f	0	0	0	0	0	0	0	0	2
811a836a17851c862cd4f199292399ba	0	0	23	0	0	0	0	0	0
c7b5f5949c7f155e5947be9c4081e6eb	0	0	24	0	0	0	0	0	0
77cd18f21765bf8edab2287e1498809f	54	0	0	0	0	0	0	0	0
8dfd8c08002831fc76484bbb45909035	0	0	0	0	1748	418	114	133	165
c31fb564f22ba3e61e82cdab69d35349	0	0	0	0	9237	3271	489	1057	1332
6010c7e8b2b93455d870f882ffddac07	0	0	0	0	5650	1820	868	1100	504
